name,shot_made_flag,shot_type,shot_distance,x,y,,
Stephen Curry,0,3PT Field Goal,25,121,230,,
Stephen Curry,1,3PT Field Goal,22,-228,1,,
Stephen Curry,1,3PT Field Goal,24,15,249,,
Stephen Curry,1,3PT Field Goal,25,-4,250,,
Stephen Curry,0,3PT Field Goal,26,124,236,,
Stephen Curry,0,3PT Field Goal,25,-116,225,,
Stephen Curry,1,3PT Field Goal,26,34,263,,
Stephen Curry,1,2PT Field Goal,17,152,82,,
Stephen Curry,1,3PT Field Goal,25,214,137,,
Stephen Curry,1,3PT Field Goal,23,-235,-10,,
Stephen Curry,1,2PT Field Goal,21,165,143,,
Stephen Curry,1,3PT Field Goal,25,135,213,,
Stephen Curry,1,3PT Field Goal,24,-18,247,,
Stephen Curry,0,3PT Field Goal,27,-130,247,,
Stephen Curry,0,3PT Field Goal,26,203,173,,
Stephen Curry,0,2PT Field Goal,15,110,115,,
Stephen Curry,0,3PT Field Goal,25,-98,235,,
Stephen Curry,0,2PT Field Goal,17,-130,123,,
Stephen Curry,0,2PT Field Goal,3,-29,19,,
Stephen Curry,0,3PT Field Goal,23,193,140,,
Stephen Curry,0,3PT Field Goal,27,192,197,,
Stephen Curry,0,3PT Field Goal,25,-210,145,,
Stephen Curry,0,3PT Field Goal,25,168,187,,
Stephen Curry,0,2PT Field Goal,22,122,189,,
Stephen Curry,1,3PT Field Goal,23,15,239,,
Stephen Curry,0,2PT Field Goal,4,-23,36,,
Stephen Curry,0,3PT Field Goal,27,177,208,,
Stephen Curry,0,2PT Field Goal,21,102,189,,
Stephen Curry,0,3PT Field Goal,27,-34,272,,
Stephen Curry,0,3PT Field Goal,22,223,31,,
Stephen Curry,1,3PT Field Goal,26,-68,255,,
Stephen Curry,0,3PT Field Goal,26,-194,184,,
Stephen Curry,0,3PT Field Goal,26,-111,244,,
Stephen Curry,0,3PT Field Goal,24,42,242,,
Stephen Curry,0,3PT Field Goal,24,-131,205,,
Stephen Curry,0,3PT Field Goal,25,-128,217,,
Stephen Curry,0,3PT Field Goal,26,116,242,,
Stephen Curry,0,3PT Field Goal,25,230,107,,
Stephen Curry,0,3PT Field Goal,24,239,26,,
Stephen Curry,1,3PT Field Goal,26,-127,236,,
Stephen Curry,0,3PT Field Goal,24,37,247,,
Stephen Curry,0,2PT Field Goal,20,-207,-14,,
Stephen Curry,0,3PT Field Goal,24,-172,175,,
Stephen Curry,0,3PT Field Goal,26,91,252,,
Stephen Curry,0,2PT Field Goal,10,0,107,,
Stephen Curry,0,3PT Field Goal,22,226,9,,
Stephen Curry,0,2PT Field Goal,18,119,146,,
Stephen Curry,0,2PT Field Goal,16,168,4,,
Stephen Curry,0,2PT Field Goal,16,-157,31,,
Stephen Curry,0,2PT Field Goal,23,-160,168,,
Stephen Curry,0,3PT Field Goal,25,18,252,,
Stephen Curry,0,2PT Field Goal,21,-18,217,,
Stephen Curry,0,2PT Field Goal,18,-133,134,,
Stephen Curry,0,3PT Field Goal,25,64,246,,
Stephen Curry,0,2PT Field Goal,22,140,172,,
Stephen Curry,0,3PT Field Goal,27,-27,272,,
Stephen Curry,0,3PT Field Goal,26,124,235,,
Stephen Curry,0,3PT Field Goal,23,-232,6,,
Stephen Curry,0,3PT Field Goal,26,118,241,,
Stephen Curry,0,3PT Field Goal,23,-237,6,,
Stephen Curry,0,3PT Field Goal,25,-56,250,,
Stephen Curry,0,3PT Field Goal,27,129,242,,
Stephen Curry,0,3PT Field Goal,29,77,285,,
Stephen Curry,0,3PT Field Goal,25,171,183,,
Stephen Curry,0,3PT Field Goal,26,146,222,,
Stephen Curry,0,3PT Field Goal,23,147,189,,
Stephen Curry,0,2PT Field Goal,20,-68,189,,
Stephen Curry,1,3PT Field Goal,25,-100,233,,
Stephen Curry,1,3PT Field Goal,24,-199,145,,
Stephen Curry,0,3PT Field Goal,24,-243,0,,
Stephen Curry,1,3PT Field Goal,26,-52,255,,
Stephen Curry,0,3PT Field Goal,27,-183,205,,
Stephen Curry,0,2PT Field Goal,20,-109,170,,
Stephen Curry,0,3PT Field Goal,24,106,225,,
Stephen Curry,0,2PT Field Goal,3,0,37,,
Stephen Curry,0,3PT Field Goal,24,100,225,,
Stephen Curry,0,2PT Field Goal,9,-10,99,,
Stephen Curry,0,2PT Field Goal,10,-4,102,,
Stephen Curry,1,2PT Field Goal,15,-62,138,,
Stephen Curry,1,3PT Field Goal,23,-229,26,,
Stephen Curry,1,2PT Field Goal,17,-119,131,,
Stephen Curry,0,2PT Field Goal,3,-2,33,,
Stephen Curry,0,3PT Field Goal,24,12,247,,
Stephen Curry,0,3PT Field Goal,25,65,246,,
Stephen Curry,0,3PT Field Goal,25,147,203,,
Stephen Curry,0,3PT Field Goal,24,-4,244,,
Stephen Curry,0,3PT Field Goal,25,218,138,,
Stephen Curry,0,2PT Field Goal,22,-188,119,,
Stephen Curry,0,2PT Field Goal,17,-101,146,,
Stephen Curry,0,3PT Field Goal,24,-10,247,,
Stephen Curry,0,3PT Field Goal,24,-71,235,,
Stephen Curry,1,3PT Field Goal,25,23,255,,
Stephen Curry,0,3PT Field Goal,25,174,189,,
Stephen Curry,0,3PT Field Goal,24,84,233,,
Stephen Curry,0,2PT Field Goal,21,-101,189,,
Stephen Curry,0,3PT Field Goal,25,24,254,,
Stephen Curry,1,3PT Field Goal,28,13,280,,
Stephen Curry,0,2PT Field Goal,19,10,195,,
Stephen Curry,0,3PT Field Goal,25,-34,257,,
Stephen Curry,0,3PT Field Goal,27,-201,190,,
Stephen Curry,0,3PT Field Goal,24,-164,187,,
Stephen Curry,0,3PT Field Goal,25,86,241,,
Stephen Curry,0,2PT Field Goal,21,193,105,,
Stephen Curry,0,3PT Field Goal,28,-136,252,,
Stephen Curry,0,3PT Field Goal,25,-78,246,,
Stephen Curry,0,3PT Field Goal,25,103,235,,
Stephen Curry,0,3PT Field Goal,23,236,6,,
Stephen Curry,0,2PT Field Goal,5,-46,28,,
Stephen Curry,0,2PT Field Goal,12,119,31,,
