name,shot_made_flag,shot_type,shot_distance,x,y
DeMar DeRozan,0,2PT Field Goal,16,-125,105
DeMar DeRozan,1,2PT Field Goal,10,-90,45
DeMar DeRozan,1,2PT Field Goal,4,45,15
DeMar DeRozan,0,2PT Field Goal,20,-120,164
DeMar DeRozan,1,2PT Field Goal,9,65,75
DeMar DeRozan,0,2PT Field Goal,11,95,60
DeMar DeRozan,1,2PT Field Goal,14,143,42
DeMar DeRozan,0,3PT Field Goal,25,-191,162
DeMar DeRozan,0,3PT Field Goal,22,-228,-6
DeMar DeRozan,1,2PT Field Goal,19,-160,113
DeMar DeRozan,0,3PT Field Goal,23,230,0
DeMar DeRozan,1,2PT Field Goal,16,152,61
DeMar DeRozan,1,2PT Field Goal,20,173,112
DeMar DeRozan,1,2PT Field Goal,21,-119,175
DeMar DeRozan,0,3PT Field Goal,24,-240,33
DeMar DeRozan,1,2PT Field Goal,7,58,52
DeMar DeRozan,1,2PT Field Goal,18,176,56
DeMar DeRozan,0,2PT Field Goal,18,-168,82
DeMar DeRozan,1,2PT Field Goal,17,-138,115
DeMar DeRozan,1,3PT Field Goal,23,236,1
DeMar DeRozan,1,2PT Field Goal,15,-153,37
DeMar DeRozan,1,2PT Field Goal,19,193,45
DeMar DeRozan,0,2PT Field Goal,19,149,127
DeMar DeRozan,1,3PT Field Goal,23,230,0
DeMar DeRozan,1,2PT Field Goal,20,84,186
DeMar DeRozan,1,2PT Field Goal,18,-43,184
DeMar DeRozan,1,2PT Field Goal,18,-40,181
DeMar DeRozan,1,2PT Field Goal,18,-172,61
DeMar DeRozan,1,2PT Field Goal,19,-160,112
DeMar DeRozan,1,2PT Field Goal,13,138,19
DeMar DeRozan,1,2PT Field Goal,19,146,123
DeMar DeRozan,0,2PT Field Goal,8,13,82
DeMar DeRozan,1,2PT Field Goal,15,20,156
DeMar DeRozan,1,2PT Field Goal,9,-97,14
DeMar DeRozan,1,2PT Field Goal,18,-136,121
DeMar DeRozan,1,2PT Field Goal,19,6,195
DeMar DeRozan,1,2PT Field Goal,17,0,176
DeMar DeRozan,1,2PT Field Goal,19,-52,189
DeMar DeRozan,0,2PT Field Goal,22,4,220
DeMar DeRozan,0,2PT Field Goal,20,-93,183
DeMar DeRozan,1,2PT Field Goal,17,-141,105
DeMar DeRozan,1,2PT Field Goal,17,48,164
DeMar DeRozan,1,2PT Field Goal,15,-90,132
DeMar DeRozan,1,2PT Field Goal,17,176,11
DeMar DeRozan,1,3PT Field Goal,22,-229,0
DeMar DeRozan,1,2PT Field Goal,18,-183,17
DeMar DeRozan,1,2PT Field Goal,16,18,168
DeMar DeRozan,1,3PT Field Goal,24,-240,3
DeMar DeRozan,1,2PT Field Goal,19,149,129
DeMar DeRozan,0,2PT Field Goal,16,-119,110
DeMar DeRozan,0,2PT Field Goal,18,-97,157
DeMar DeRozan,0,2PT Field Goal,14,-2,145
DeMar DeRozan,1,2PT Field Goal,16,21,167
DeMar DeRozan,1,2PT Field Goal,16,-161,14
DeMar DeRozan,1,2PT Field Goal,14,97,101
DeMar DeRozan,1,3PT Field Goal,23,-232,-3
DeMar DeRozan,1,2PT Field Goal,20,-146,146
DeMar DeRozan,0,3PT Field Goal,22,226,19
DeMar DeRozan,0,3PT Field Goal,22,-224,11
DeMar DeRozan,0,2PT Field Goal,18,-158,97
DeMar DeRozan,0,2PT Field Goal,19,-120,148
DeMar DeRozan,0,2PT Field Goal,21,-70,201
DeMar DeRozan,0,3PT Field Goal,24,75,235
DeMar DeRozan,0,2PT Field Goal,18,-65,173
DeMar DeRozan,0,2PT Field Goal,18,-75,173
DeMar DeRozan,0,3PT Field Goal,22,-228,6
DeMar DeRozan,0,2PT Field Goal,21,77,200
DeMar DeRozan,0,2PT Field Goal,20,136,157
DeMar DeRozan,0,2PT Field Goal,19,182,75
DeMar DeRozan,1,2PT Field Goal,13,-5,137
DeMar DeRozan,1,3PT Field Goal,23,-239,20
DeMar DeRozan,1,2PT Field Goal,16,-98,131
DeMar DeRozan,0,2PT Field Goal,17,144,99
DeMar DeRozan,0,2PT Field Goal,15,86,134
DeMar DeRozan,0,2PT Field Goal,20,-103,172
DeMar DeRozan,0,2PT Field Goal,14,-70,131
DeMar DeRozan,0,2PT Field Goal,12,65,105
DeMar DeRozan,0,2PT Field Goal,20,-49,200
DeMar DeRozan,0,2PT Field Goal,12,-125,15
DeMar DeRozan,1,2PT Field Goal,11,-46,105
DeMar DeRozan,1,2PT Field Goal,18,-134,126
DeMar DeRozan,1,2PT Field Goal,19,-127,143
DeMar DeRozan,0,2PT Field Goal,15,151,15
DeMar DeRozan,0,3PT Field Goal,23,233,19
DeMar DeRozan,0,3PT Field Goal,23,231,17
DeMar DeRozan,1,2PT Field Goal,22,140,173
DeMar DeRozan,0,2PT Field Goal,6,-67,19
DeMar DeRozan,0,3PT Field Goal,23,-231,6
DeMar DeRozan,0,2PT Field Goal,16,146,67
DeMar DeRozan,1,2PT Field Goal,3,-21,34
DeMar DeRozan,1,2PT Field Goal,9,4,93
